date,currency,usd_per_unit
2025-01-15,EUR,1.04
2025-01-16,EUR,1.03664
2025-01-17,EUR,1.037432
2025-01-20,EUR,1.0364
2025-01-21,EUR,1.038397
2025-01-22,EUR,1.037084
2025-01-23,EUR,1.036266
2025-01-24,EUR,1.038649
2025-01-27,EUR,1.036082
2025-01-28,EUR,1.034648
2025-01-29,EUR,1.037215
2025-01-30,EUR,1.041129
2025-01-31,EUR,1.039493
2025-02-03,EUR,1.042354
2025-02-04,EUR,1.035703
2025-02-05,EUR,1.038647
2025-02-06,EUR,1.040667
2025-02-07,EUR,1.041474
2025-02-10,EUR,1.045757
2025-02-11,EUR,1.037014
2025-02-12,EUR,1.043811
2025-02-13,EUR,1.039262
2025-02-14,EUR,1.033279
2025-02-17,EUR,1.030108
2025-02-18,EUR,1.033762
2025-02-19,EUR,1.029311
2025-02-20,EUR,1.033536
2025-02-21,EUR,1.031991
2025-02-24,EUR,1.025229
2025-02-25,EUR,1.02913
2025-02-26,EUR,1.024214
2025-02-27,EUR,1.02599
2025-02-28,EUR,1.023633
2025-03-03,EUR,1.027428
2025-03-04,EUR,1.021475
2025-03-05,EUR,1.016481
2025-03-06,EUR,1.022319
2025-03-07,EUR,1.019272
2025-03-10,EUR,1.022752
2025-03-11,EUR,1.023485
2025-03-12,EUR,1.023713
2025-03-13,EUR,1.02303
2025-03-14,EUR,1.02774
2025-03-17,EUR,1.028776
2025-03-18,EUR,1.029067
2025-03-19,EUR,1.031902
2025-03-20,EUR,1.034949
2025-03-21,EUR,1.035583
2025-03-24,EUR,1.036107
2025-03-25,EUR,1.039694
2025-03-26,EUR,1.030247
2025-03-27,EUR,1.030832
2025-03-28,EUR,1.033808
2025-03-31,EUR,1.034996
2025-04-01,EUR,1.034466
2025-04-02,EUR,1.02894
2025-04-03,EUR,1.022704
2025-04-04,EUR,1.025379
2025-04-07,EUR,1.029292
2025-04-08,EUR,1.017063
2025-04-09,EUR,1.017518
2025-04-10,EUR,1.013813
2025-04-11,EUR,1.010615
2025-04-14,EUR,1.00891
2025-04-15,EUR,1.012952
2025-04-16,EUR,1.019064
2025-04-17,EUR,1.019075
2025-04-18,EUR,1.026431
2025-04-21,EUR,1.029219
2025-04-22,EUR,1.035596
2025-04-23,EUR,1.030883
2025-04-24,EUR,1.032536
2025-04-25,EUR,1.030641
2025-04-28,EUR,1.040155
2025-04-29,EUR,1.043783
2025-04-30,EUR,1.039719
2025-05-01,EUR,1.039794
2025-05-02,EUR,1.042997
2025-05-05,EUR,1.042739
2025-05-06,EUR,1.046279
2025-05-07,EUR,1.037421
2025-05-08,EUR,1.039581
2025-05-09,EUR,1.040123
2025-05-12,EUR,1.044327
2025-05-13,EUR,1.041928
2025-05-14,EUR,1.034771
2025-05-15,EUR,1.038146
2025-05-16,EUR,1.037891
2025-05-19,EUR,1.033368
2025-05-20,EUR,1.033063
2025-05-21,EUR,1.029586
2025-05-22,EUR,1.023251
2025-05-23,EUR,1.031183
2025-05-26,EUR,1.029389
2025-05-27,EUR,1.025749
2025-05-28,EUR,1.020486
2025-05-29,EUR,1.025371
2025-05-30,EUR,1.030123
2025-06-02,EUR,1.030763
2025-06-03,EUR,1.027614
2025-06-04,EUR,1.024285
2025-06-05,EUR,1.018268
2025-06-06,EUR,1.014948
2025-06-09,EUR,1.010659
2025-06-10,EUR,1.00789
2025-06-11,EUR,1.009859
2025-06-12,EUR,1.011727
2025-06-13,EUR,1.016807
2025-06-16,EUR,1.023341
2025-06-17,EUR,1.028385
2025-06-18,EUR,1.020705
2025-06-19,EUR,1.020434
2025-06-20,EUR,1.02434
2025-06-23,EUR,1.023379
2025-06-24,EUR,1.027208
2025-06-25,EUR,1.024917
2025-06-26,EUR,1.020811
2025-06-27,EUR,1.020825
2025-06-30,EUR,1.016281
2025-07-01,EUR,1.020463
2025-07-02,EUR,1.02637
2025-07-03,EUR,1.026985
2025-07-04,EUR,1.029718
2025-07-07,EUR,1.03203
2025-07-08,EUR,1.02916
2025-07-09,EUR,1.029771
2025-07-10,EUR,1.033109
2025-07-11,EUR,1.032715
2025-07-14,EUR,1.033205
2025-07-15,EUR,1.033819
2025-07-16,EUR,1.033872
2025-07-17,EUR,1.039297
2025-07-18,EUR,1.035807
2025-07-21,EUR,1.036252
2025-07-22,EUR,1.03402
2025-07-23,EUR,1.038033
2025-07-24,EUR,1.028289
2025-07-25,EUR,1.035956
2025-07-28,EUR,1.034109
2025-07-29,EUR,1.035406
2025-07-30,EUR,1.02948
2025-07-31,EUR,1.032397
2025-08-01,EUR,1.038895
2025-08-04,EUR,1.043065
2025-08-05,EUR,1.047514
2025-08-06,EUR,1.040361
2025-08-07,EUR,1.042567
2025-08-08,EUR,1.038385
2025-08-11,EUR,1.034698
2025-08-12,EUR,1.038227
2025-08-13,EUR,1.033366
2025-08-14,EUR,1.042768
2025-08-15,EUR,1.041353
2025-08-18,EUR,1.041586
2025-08-19,EUR,1.045003
2025-08-20,EUR,1.0462
2025-08-21,EUR,1.043612
