year,model,observations,high_loss_days,event_rate,roc_auc,average_precision,precision,recall,f1_score,true_negative,false_positive,false_negative,true_positive
2020,Volatility score,248,35,0.14112903225806453,0.685177733065057,0.3338134379794046,0.17088607594936708,0.7714285714285715,0.27979274611398963,82,131,8,27
2020,Logistic (market),248,35,0.14112903225806453,0.6871898054996646,0.3268859287318301,0.23958333333333334,0.6571428571428571,0.3511450381679389,140,73,12,23
2020,Logistic (+ rates),248,35,0.14112903225806453,0.6401073105298457,0.2627354328072483,0.16666666666666666,0.8285714285714286,0.27751196172248804,68,145,6,29
2020,XGBoost (market),248,35,0.14112903225806453,0.5279007377598927,0.15153811853022825,0.175,0.2,0.18666666666666668,180,33,28,7
2020,XGBoost (+ rates),248,35,0.14112903225806453,0.4494969818913481,0.14331845146129432,0.16666666666666666,0.05714285714285714,0.0851063829787234,203,10,33,2
2021,Volatility score,249,22,0.08835341365461848,0.39747697236684015,0.07280192172156602,0.0,0.0,0.0,227,0,22,0
2021,Logistic (market),249,22,0.08835341365461848,0.5606728073688426,0.1033188986909702,0.09433962264150944,0.22727272727272727,0.13333333333333333,179,48,17,5
2021,Logistic (+ rates),249,22,0.08835341365461848,0.5408490188225871,0.1393301793198878,0.1,0.18181818181818182,0.12903225806451613,191,36,18,4
2021,XGBoost (market),249,22,0.08835341365461848,0.5296355626752103,0.13797110273730753,0.11764705882352941,0.2727272727272727,0.1643835616438356,182,45,16,6
2021,XGBoost (+ rates),249,22,0.08835341365461848,0.5342410893071686,0.09911836250428668,0.0,0.0,0.0,225,2,22,0
2022,Volatility score,250,49,0.196,0.38196771245811756,0.1540372527175408,0.1564245810055866,0.5714285714285714,0.24561403508771928,50,151,21,28
2022,Logistic (market),250,49,0.196,0.4559853792263174,0.17405815967043323,0.18285714285714286,0.6530612244897959,0.2857142857142857,58,143,17,32
2022,Logistic (+ rates),250,49,0.196,0.3680576708295258,0.15183849136659608,0.18454935622317598,0.8775510204081632,0.3049645390070922,11,190,6,43
2022,XGBoost (market),250,49,0.196,0.4769012082444918,0.19451724290755545,0.1794871794871795,0.5714285714285714,0.2731707317073171,73,128,21,28
2022,XGBoost (+ rates),250,49,0.196,0.5185805665549802,0.21864361158338141,0.1968503937007874,0.5102040816326531,0.2840909090909091,99,102,24,25
2023,Volatility score,247,9,0.03643724696356275,0.4752567693744164,0.03674516901201141,0.0,0.0,0.0,238,0,9,0
2023,Logistic (market),247,9,0.03643724696356275,0.6055088702147525,0.049090992153283636,0.05063291139240506,0.4444444444444444,0.09090909090909091,163,75,5,4
2023,Logistic (+ rates),247,9,0.03643724696356275,0.6083099906629318,0.05016405745365252,0.02564102564102564,0.1111111111111111,0.041666666666666664,200,38,8,1
2023,XGBoost (market),247,9,0.03643724696356275,0.6601307189542484,0.061646200498461604,0.07228915662650602,0.6666666666666666,0.13043478260869565,161,77,3,6
2023,XGBoost (+ rates),247,9,0.03643724696356275,0.7250233426704015,0.08622129781609554,0.10526315789473684,0.2222222222222222,0.14285714285714285,221,17,7,2
2024,Volatility score,247,24,0.09716599190283401,0.44562780269058294,0.08844907037034772,0.0,0.0,0.0,223,0,24,0
2024,Logistic (market),247,24,0.09716599190283401,0.5190582959641256,0.10628679084318199,0.11475409836065574,0.2916666666666667,0.16470588235294117,169,54,17,7
2024,Logistic (+ rates),247,24,0.09716599190283401,0.469170403587444,0.09900840289492219,0.0,0.0,0.0,223,0,24,0
2024,XGBoost (market),247,24,0.09716599190283401,0.6053811659192825,0.14225994434499506,0.11666666666666667,0.2916666666666667,0.16666666666666666,170,53,17,7
2024,XGBoost (+ rates),247,24,0.09716599190283401,0.43254857997010465,0.14206779637852418,0.18181818181818182,0.08333333333333333,0.11428571428571428,214,9,22,2
2025,Volatility score,243,17,0.06995884773662552,0.6171264966163457,0.093629057368342,0.08695652173913043,0.11764705882352941,0.1,205,21,15,2
2025,Logistic (market),243,17,0.06995884773662552,0.5957834461218116,0.14639575065595004,0.12962962962962962,0.4117647058823529,0.19718309859154928,179,47,10,7
2025,Logistic (+ rates),243,17,0.06995884773662552,0.6298802706923478,0.16899393501014587,0.3333333333333333,0.17647058823529413,0.23076923076923078,220,6,14,3
2025,XGBoost (market),243,17,0.06995884773662552,0.6225923997917752,0.13152451070586277,0.16071428571428573,0.5294117647058824,0.2465753424657534,179,47,8,9
2025,XGBoost (+ rates),243,17,0.06995884773662552,0.6080166579906299,0.14238366002856623,0.14285714285714285,0.17647058823529413,0.15789473684210525,208,18,14,3
